Date received,Tag,Consumer Claim,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
10/15/2018,"Credit reporting, credit repair services, or other personal consumer reports","XXXX, XXXX SOC SEC # XXXX DOB XX/XX/XXXX ADDRESS XXXX XXXX XXXX, XXXX XXXX, FL XXXX To Whom it May Concern : XXXX  XXXX. XXXX XXXX XXXX, TX XXXX XXXX XXXX. XXXX XXXX XXXX, GA XXXX TransUnion, XXXX XXXX. XXXX  XXXX XXXX, PA XXXX I recently pulled a copy of my credit report and noticed the following information are in error : Inquires The FCRA states that the only permissible purpose for pulling someone's credit report is a ) firm offer of credit b ) insurance c ) employment or d ) a court order. 
The following inquiries are related to none of the aforementioned permissible purposes. 

Inquiry details Inquiry details XXXX/XXXX  Inquiry from XX/XX/XXXX + XXXX XXXX XXXX XXXX Cr Inquiry from XX/XX/XXXX + XXXX XXXX XXXX Cr Inquiry from XX/XX/XXXX + XXXX XXXX XXXX XXXX from XX/XX/XXXX + Bank XXXX Inquiry from XX/XX/XXXX + XXXX XXXX XXXX XXXX Bank XXXX, N. A Inquiry from XX/XX/XXXX + XXXX XXXX XXXX XXXX. 
XXXX Bank XXXX, XXXX XXXX Inquiry from XX/XX/XXXX + XXXX XXXX XXXX  XXXX. 
XXXX XXXX XXXX Inquiry from XX/XX/XXXX + Miscellaneous Reptg. Agencies XXXX XXXX XXXX Inquiry from XX/XX/XXXX + Miscellaneous Reptg. Agencies XXXX Inquiry from XX/XX/XXXX + Miscellaneous Utilities XXXX-XXXX Inquiry from XX/XX/XXXX + Telephone Companies Please remove these inquiries from my credit report. I have enclosed a copy of my proof of identity. Sincerely, XXXX, XXXX XXXX SEC # XXXX DOB XX/XX/XXXX ADDRESS XXXX XXXX XXXX, XXXX XXXX, FL XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,33435,,Consent provided,Web,10/15/2018,Closed with explanation,Yes,,3046673
10/08/2015,Mortgage,,,M&T BANK CORPORATION,PA,18704,Older American,Consent not provided,Web,10/09/2015,Closed with explanation,Yes,No,1598535
07/11/2018,"Credit reporting, credit repair services, or other personal consumer reports","We started using XXXX XXXX XXXX in XX/XX/XXXX. This Account was on both my husbands credit report and on my credit report. It has been taken off my husbands credit report but is still on my credit report As of today XX/XX/XXXX it's still on my credit report. When XXXX XXXX sent them letters they responded Dispute Resolved / Consumer Disagrees. The company we are disputing is XXXX XXXX XXXX XXXX XXXX, the Account is paid off. So why is this still on my credit report and has been taken off my husbands credit report? My name is XXXX XXXX XXXX XXXX and my husbands name is XXXX XXXX XXXX XXXX.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MI,48855,,Consent provided,Web,07/11/2018,Closed with explanation,Yes,,2959021
06/07/2018,Mortgage,,,PNC Bank N.A.,MI,48625,,,Referral,06/07/2018,Closed with explanation,Yes,,2929265
06/16/2014,Credit reporting,,,Experian Information Solutions Inc.,TX,76132,,,Postal mail,06/30/2014,Closed with explanation,Yes,No,896780
02/12/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,92395,,,Fax,02/12/2018,Closed with non-monetary relief,Yes,,2811489
01/23/2019,Debt collection,,Company believes it acted appropriately as authorized by contract or law,"STERLING JEWELERS, INC.",TX,76210,,Consent not provided,Web,01/23/2019,Closed with explanation,Yes,,3131831
06/05/2017,"Credit reporting, credit repair services, or other personal consumer reports","Repeated denials for Discover bank cash checking account. The reason are stating   XXXX   XXXX   has something blocking an approval for their checking account.   XXXX   XXXX   customer service has stated their is no derogatory information and that I have a clear report. DISCOVER BANK stated to apply again and denied again for the same reason   XXXX   XXXX  . My risk from  XXXX  to  XXXX  is  XXXX , nearly a perfect score?! So something does n't make since in this.",,DISCOVER BANK,UT,841XX,,Consent provided,Web,06/05/2017,Closed with explanation,Yes,,2501791
12/18/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",,,,,Referral,12/18/2018,Closed with explanation,Yes,,3103287
09/23/2016,Bank account or service,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,WI,54481,Older American,Consent not provided,Web,09/23/2016,Closed with explanation,Yes,Yes,2129470
02/01/2019,"Credit reporting, credit repair services, or other personal consumer reports",,,"EQUIFAX, INC.",RI,02907,,,Web,02/01/2019,Closed with explanation,Yes,,3139740
01/20/2017,Student loan,"The amount of money they wanted for a monthly payment was way too high for me to achieve. They made the process of lowering the payments almost impossible and took several months, every time I spoke to a person they had different answers and explanations. I was told the payments got lowered to XXXX dollars a month but when I received my first bill it was for XXXX+. Now I can not reach anyone at the company or get any answers. This is just an example of the headaches this company has given me. I am trying my hardest to stay above the waters and do what 's right with paying back my loans and the company is making it impossible for this to be smooth.",,"Navient Solutions, LLC.",NY,,,Consent provided,Web,01/24/2017,Closed with explanation,Yes,No,2301305
03/13/2018,Mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,AL,36542,,Consent not provided,Web,03/13/2018,Closed with explanation,Yes,,2841743
04/15/2014,Student loan,,,JPMORGAN CHASE & CO.,MD,21218,,,Web,04/15/2014,Closed with explanation,Yes,No,809347
07/18/2016,Bank account or service,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,CO,80304,Older American,,Phone,07/18/2016,Closed with explanation,Yes,No,2018262
07/16/2015,Credit card,,,PAYPAL HOLDINGS INC.,NJ,085XX,,Consent not provided,Web,07/16/2015,Closed with explanation,Yes,No,1471260
06/03/2016,Debt collection,"On the XX/XX/XXXX I closed my XXXX account for DSL internet due to moving to XXXX to change XXXX. About a month after we canceled our service we called to make sure that our internet account was closed/Free and clear as well as our other utilities/services. We were notified that our account was closed with a XXXX balance. Shortly after that we received a bill for XXXX dollars and I called XXXX to see what the charges were for and the gentleman from customer service reviewed the account and informed us that they had made and error and we were actually owed XXXX. After that I received an account summary detailing the closure of the account showing a XXXX credit. The day after I received a bill for XXXX dollars along with a collection notice from IC Systems. I called XXXX again talking with various offices customer service, account management, etc. and no one could explain the bill or the debt collection. I then called IC Systems and asked about the debt and how to resolve it. Seems that there was no way for XXXX to remove the collection notice and that I would have to dispute the charge and wait for review. I ended up paying the debt collector in hopes that XXXX error will not affect my credit. I plan on disputing the charge with letter to IC systems but do not have much faith in any resolution with XXXX. I can not tell you the time I dedicate to keeping my finances in order and have never been late on a bill. It is very embarrassing to receive a collection notice. Through some research on I have found huge amounts of complaints about XXXX for the exact same situation. Furthermore please take note to the account numbers on both the Account Summary, and the Bill that I was sent. They do not match between the two invoices, but in XXXX system both numbers associate with the same account. Any help that you could provide would be greatly appreciated we are in the process of closing on a house and this concerns me greatly that it will affect the closing in a negative way despite my stellar credit. Its very frustrating how willing they are to sell you services, but when your done they cant help at all. 

Thank you, below is the contact information for both companies involved. 


XXXX XXXX IC Services XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"I.C. System, Inc.",GA,315XX,Servicemember,Consent provided,Web,06/03/2016,Closed with explanation,Yes,No,1954094
08/31/2015,Mortgage,"From : XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX : ( XXXX ) XXXX : XXXXPHH Mortgage Corporation Loan Number : XXXX : Consumer Financial Protection BureauRegarding : XXXX XXXX XXXX XXXX XXXX ) PHH send me a letter dated XXXX/XXXX/2015, stating that I was not eligible for a Homeowners Assistance Program, and that you are the "" owner of your mortgage loan : XXXX XXXX XXXX XXXX XXXX ''. 
2 ) Your customer service department stated you are not he owner of my loan. 
3 ) A Notice of Trustee 's Sale was posted on my front door for a sale date set for XXXX/XXXX/2015, stating that are a Trustee for XXXX XXXX Mortgage. 
4 ) A Notice of Trustee 's Sale was posted on my front door for a sale date set for XXXX/XXXX/2015, stating that are a Trustee for XXXX XXXX Mortgage. 

I 'm requesting of you to provide me under the California Homeowners Bill of Rights, Mortgage in General-California Civil Codes : 2923.55 and 2923.6 and 2923.7 and 2924.9 and 2924.17 and all other Civil Codes that applies. 

Copy of the Note The Recorded Name on the Deed of Trust Any Assignment Notice of Trustee 's Sale for XXXX/XXXX/2015 and XXXX/XXXX/2015 All Evidence Required to Demonstrate the Right to Foreclose The letter Fair Debt Collection Practice Act ( FDCPA ) The Wet Signature because of Robo Signing Explain Securitized Loan Explain Mortgage Electronic Registration System ( MERS ) Explain XXXX XXXX XXXX Explain XXXX Explain XXXX XXXX XXXX XXXX of XXXX pages",,PHH Mortgage Services Corporation,CA,936XX,,Consent provided,Web,09/08/2015,Closed with explanation,Yes,Yes,1544186
03/27/2018,Mortgage,"My mortgage loan was paid off. I overpaid the loan, and was refunded my money back from Chase. Chase then issued me an IRS Form XXXX for that refunded money, claiming it as "" other income '' on line 3 of the form, which means it becomes income to me, and due taxes. I have already paid taxes on that money, and now, because of the XXXX, the IRS will want me to pay taxes on it again. 

The XXXX listed is NOT income from Chase to me, but my own money, refunded back to me. I filed a previous complaint with CFPB, case # XXXX. Chase 's response to that claim did NOT address the mistaken form XXXX at all. They didn't even mention it.",,JPMORGAN CHASE & CO.,TX,,Older American,Consent provided,Web,03/27/2018,Closed with explanation,Yes,,2856437
11/05/2013,Bank account or service,,,ALLY FINANCIAL INC.,GA,30269,,,Referral,11/07/2013,Closed with non-monetary relief,Yes,No,587018
06/12/2018,"Credit reporting, credit repair services, or other personal consumer reports","Upon checking my credit report I noticed a few things that should not be on my report. More specifically an XXXX XXXX XXXX XXXX account, in which I was notified by the company itself that they would remove it due to the fact that someone put me on as an authorized user inwhich I was totally unaware of. And according to the FCRA rule of law, this account should be removed.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,630XX,,Consent provided,Web,06/12/2018,Closed with explanation,Yes,,2934091
03/24/2017,Student loan,"I am the co-borrower on a student loan. The borrower has made all his payments ( a few late, but made. ) I have ask and the borrower has ask to release me from the loan and we 're told it ca n't be done. This loan was taken out in XX/XX/2005 the borrower has paid over {$22000.00} on it ( of course all toward interest because the original loan was {$32000.00} and the balance now is over {$36000.00} ) We are asking to release me the co-borrower, the borrower will continue to make his payments as usual.",,"Navient Solutions, LLC.",VA,,,Consent provided,Web,03/24/2017,Closed with explanation,Yes,Yes,2402365
08/31/2017,Mortgage,,,"Seterus, Inc.",PA,15535,,,Postal mail,09/01/2017,Closed with explanation,Yes,,2655906
09/23/2015,Credit card,The Macy 's payments website did not process my payment,Company chooses not to provide a public response,"CITIBANK, N.A.",NY,,,Consent provided,Web,09/23/2015,Closed with monetary relief,Yes,No,1577206
08/27/2017,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NJ,07306,,Consent not provided,Web,08/27/2017,Closed with explanation,Yes,,2651775
08/27/2015,Debt collection,,Company can't verify or dispute the facts in the complaint,"Vengroff Williams, Inc",MO,64155,,,Referral,09/03/2015,Closed with explanation,Yes,No,1540553
07/06/2017,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,10002,,Consent not provided,Web,07/06/2017,Closed with monetary relief,Yes,,2567456
02/16/2018,Checking or savings account,"I got a settlement ; 3 years ago I got a settlement from XXXX for wrongful termination. I took a {$50000.00} settlement, instead of XXXX to XXXX with a free attorney. Due to being homeless I was desperate and took the lower amount, the settlement checks came in two parts, one for XXXX and one for XXXX. The first one I cashed and bought a car. I owed XXXX on the balance of the car, paid bills, ect. My XXXX check came and I attempted to cash it at Chase bank on XXXX XXXX XXXX, XXXX XXXX, CA XXXX. Instead of Chase offering me to open my own account, I signed the check over to the car dealership owner, the man who operates XXXX XXXX XXXX which is located on XXXX XXXX XXXX XXXX XXXX XXXX XXXX Ca XXXX Phone number XXXX that I bought my car from per the advice of the bank teller in order to cash it and receive my direct cash. I have a witness to all these statements if needed. They said the check did not clear right away, and that they would transfer the funds from the Car dealership man account to a separate account when the check cleared. But they did not return my check to me when I left that day ; looking back they should have when the checks funds could not be verified. Chase did eventually divert funds to an account in my name, but not for the correct amount, it was XXXX short. Due to being homeless, I and having a diagnosed XXXX  XXXX that prevents me from understanding things clearly, having no mail, email, po box . I had no access to information about my account. So recently, I inquired about {$3000.00} I put into a 3 year CD account. I was told to come in and show ID on the account. Upon doing so, I entered the branch on XXXX XXXX XXXX and XXXX in XXXX XXXX CA. I requested copies of the account, and the teller had an issue with retrieving the statements on my entire account including the CD account and told me to come back later that day. They did give me the statement, refused to answer any further questions, and even turned away my direct deposit check, and told me that they would no longer want to do business with me. I Called Chase before on a balance on my account, and they said there had seemed to be a lot of fraudulent activity on my account. They refused to give me a copy of my original {$40000.00} check.",,JPMORGAN CHASE & CO.,CA,951XX,,Consent provided,Web,02/16/2018,Closed with explanation,Yes,,2816614
07/30/2015,Mortgage,,,"Seterus, Inc.",IL,60631,Older American,,Referral,08/06/2015,Closed with explanation,Yes,No,1494046
11/17/2012,Mortgage,,,"CITIBANK, N.A.",CA,913XX,,,Referral,11/20/2012,Closed with explanation,Yes,No,192646
11/30/2016,Credit reporting,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,OR,974XX,Older American,Consent not provided,Web,11/30/2016,Closed with non-monetary relief,Yes,No,2228050
01/23/2018,Mortgage,"In XXXX XXXX my mortgage was sold to Rushmore Loan Management. Since then I have made payments on XX/XX/XXXX and XX/XX/XXXX, of which, Rushmore states they have not received. I have provided them electronic transfer numbers as well as "" Confirmation of Funds Transfer '' letters from my bank ( XXXX XXXX ), on numerous occasions, confirming they have received the funds and when the funds were sent. Rushmore keeps calling stating that they have not received the documentation nor the payments. They also state that if they do not receive a payment from us, we will go into default and will have negative reporting on our credit. 
Rushmore only allows you to fax the proof, and then claims they never receive. Surprised that they do not offer a more 21st century method of providing this information. 
For a servicer as large as Rushmore, they really need a better solution to their accounting of monies received. 
I have never missed or been late on a mortgage payment, and this is extremely frustrating that they can not seem to resolve the problem. It is companies like this that give the mortgage industry a bad reputation.",,RUSHMORE LOAN MANAGEMENT SERVICES LLC,AZ,,,Consent provided,Web,01/23/2018,Closed with explanation,Yes,,2791483
08/04/2016,Debt collection,"I was contacted by Van Ru Credit Corporation 5 times in one day. They would hang up each time I would answer after my answering machine would pick up. When I finally spoke to them, they told me to press my suit that I have a court date coming up. That if I do not pay my bill they will take my home, and my children will be homeless. 

When I called and asked to speak to the President or owner I was told XXXX XXXX does not speak to losers. That he was on his yacht on vacation.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Van Ru Credit Corporation,IL,600XX,,Consent provided,Web,08/04/2016,Closed with explanation,Yes,No,2047631
05/31/2017,Vehicle loan or lease,I have been dealing with gm financial since the inception of my loan. We did get behind on our loan and have brought it up to terms as agreed apon. But they have refused us access to look at our account stating we do n't need to do that. They also still giving me a hard time want to charges fees to pay my car note. I feel that in not allowing me access to view my account and charging me fees to pay loan is illegal. They give me no proof I am paying my car loan. They are also said they do not need abide b y US regulati ons since they are in  XXXX .,,"GENERAL MOTORS FINANCIAL COMPANY, INC.",DC,20017,Servicemember,Consent provided,Web,05/31/2017,Closed with explanation,Yes,,2498258
08/24/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,75044,,Consent not provided,Web,08/24/2018,Closed with non-monetary relief,Yes,,3001443
06/08/2018,"Credit reporting, credit repair services, or other personal consumer reports","XXXX, XXXX and Equifax has failed to updated my credit report and hold creditors responsible for false information. I did not give them permission to sell my information to a collection agency. They did not contact on any of the delinquency.",,"EQUIFAX, INC.",DC,200XX,,Consent provided,Web,06/08/2018,Closed with explanation,Yes,,2929999
08/07/2014,Mortgage,,,WELLS FARGO & COMPANY,TX,75208,,,Web,08/07/2014,Closed with explanation,Yes,No,973084
01/27/2016,Credit reporting,In XXXX 2015 I began disputing an inquiry from a company called XXXX XXXX on my experian credit report. I sent 2 letters to XXXX advising them that there was no need to pull my credit as such this inquiry they report to Experian was unauthorized. I also sent 2 letters to Experian regarding this and they have done absolutely nothing about this. I demand they remove this unauthorized inquiry off my credit report immediately. I am enclosing copies of letters I sent to both experian and XXXX with certified receipts as proof they received me correspondence.,Company chooses not to provide a public response,Experian Information Solutions Inc.,AZ,852XX,,Consent provided,Web,01/27/2016,Closed with explanation,Yes,No,1760326
02/26/2015,Mortgage,,,OCWEN LOAN SERVICING LLC,CA,91101,,,Web,03/04/2015,Closed with explanation,Yes,No,1259421
07/16/2012,Mortgage,,,"QUICKEN LOANS, INC.",MI,48433,,,Web,07/19/2012,Closed with explanation,Yes,No,118038
03/03/2017,Mortgage,,,SN SERVICING CORPORATION,SC,297XX,,,Fax,03/07/2017,Closed with explanation,Yes,No,2370985
07/31/2012,Credit card,,,"CITIBANK, N.A.",NJ,078XX,,,Web,08/02/2012,Closed with monetary relief,Yes,No,126816
10/31/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,90025,,Consent not provided,Web,10/31/2018,Closed with explanation,Yes,,3061916
09/27/2013,Debt collection,,,"National Credit Systems,Inc.",FL,32507,Servicemember,,Web,09/27/2013,Closed with explanation,No,No,546188
02/21/2019,"Credit reporting, credit repair services, or other personal consumer reports",,,"EQUIFAX, INC.",NY,106XX,,Consent not provided,Web,02/21/2019,Closed with non-monetary relief,Yes,,3158830
06/24/2017,"Credit reporting, credit repair services, or other personal consumer reports","In XXXX 2017, I did several disputes with Transunion on the website and the action was seemly completed. Today, XXXX XXXX, 2017, I obtained my Transunion credit report through www.annualcreditreport.com. <P/>I called in to Transunion at XXXX XXXX XXXX XXXX to inquire about the results of the disputes in which the representative named XXXX XXXX informed me that the results were mailed to an address in which I do not reside nor did I list on the disputes.I asked for the document and updated credit report to bne mailed to my correct adderess and she stated she could not as Transunion does not have a copy of that dispute result and since it was already mailed she could not. <P/>I then informed her I have a security freeze, she confirmed it was still active, and that I have the security freeze document which was mailed prior and I received at my correct address in XXXX 2017. <P/>I also asked if the phone call was being recorded, she confirmed that, I informed her I was writing down the time : XXXX XXXX EST on XXXX XXXX 2017 and that I request the phone recording, which she said Transunion does not provide the phone recordings. I informed her I did not believe that was accurate and possibly violated my rights, both recording me without permission and also not providing me that recording as well as not correcting the results of the disputes being mailed to an incorrect address. <P/>I asked XXXX XXXX to please send me to a higher authority at Transunion to request this same action in which I spoke to XXXX XXXX, her supervisor, who also informed me of the same information, in which I asked him to please keep record I called in and also that I am requesting both phone recordings, and have the results of my disputes to the correct address in which both representatives denied my request I asked for both representatives Employee IDs to provide to this complaint, both told me the names XXXX XXXX and XXXX XXXX and that they both resides at a call center in XXXX. I respect both persons, however I do not respect Transunion for not informing these representatives who reside in XXXX that as a U.S. citizen, my reports and information are by law, mine, and I requested and was denied the dispute results ( XXXX XXXX, 2017 ) and updated credit report ( XXXX XXXX, 2017 ). In addition, I requested the phone recordings and my request was also denied. <P/>I informed both I would seek a government authority to request these items. <P/>I ask Transunion to please answer my complaint and that the CFPB take necessary action to inform of the correct procedure to request these items, and also inform and correct Transunion for violating my consumer rights.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NJ,080XX,Servicemember,Consent provided,Web,06/24/2017,Closed with non-monetary relief,Yes,,2557788
06/27/2018,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,95032,,,Postal mail,06/27/2018,Closed with non-monetary relief,Yes,,2948427
05/17/2012,Mortgage,,,JPMORGAN CHASE & CO.,FL,33023,,,Referral,05/22/2012,Closed with explanation,Yes,No,82478
03/13/2018,"Credit reporting, credit repair services, or other personal consumer reports",,,LEXISNEXIS,MO,63135,,,Phone,03/13/2018,Closed with explanation,Yes,,2842184
01/13/2015,Credit reporting,,,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30344,,,Web,01/13/2015,Closed with non-monetary relief,Yes,No,1191987
10/04/2018,Debt collection,"On XX/XX/2017, I was sent a letter from Portfolio Recovery Associates claiming I owe them {$790.00} to which they reported on all 3 of my Credit Bureaus as a collection account. I later contacted the Credit Bureaus letting them know I that this account was not mine, after that I contacted the company directly in written requesting the information that they held to verify that this was an account to which I own. They only sent me an itemized letter that can easily be fabricated, nothing with my signature or an agreement to pay what they are saying I owe. No detailed payment history saying what I own the money for or how they calculated it.

I asked for the statue of limitation on the debt to which they say I owe since they are reporting it in collections, I asked for proof they are licensed to collect in the state of South Carolina along with the license numbers of their Registered Agent or Agent of Service. To which they completely ignored and only sent another bill with the same itemized letter and saying they will no long respond to my request.

They have removed this account twice now and added it back to my Credit Bureaus in different amounts, they are harming my overall credit score and blatant fraud. I wish have this issue resolved and the account removed for good this time. I am prepared to take legal actions if need be but I'm contacting you to see if this can be resolved before litigation.",,PORTFOLIO RECOVERY ASSOCIATES INC,SC,,Servicemember,Consent provided,Web,10/04/2018,Closed with explanation,Yes,,3038035
07/19/2017,Mortgage,,,Ditech Financial LLC,FL,32082,,,Referral,07/20/2017,Closed with explanation,Yes,,2580629
01/10/2018,Debt collection,,,AFNI INC.,GA,30034,,Consent not provided,Web,01/10/2018,Closed with explanation,Yes,,2777642
07/24/2015,Credit reporting,Had a account with XXXX over XXXX years ago ... have not had XXXX since XX/XX/XXXX-XX/XX/XXXX lost job request cancellation of service ... .went away than reappeared stating account was open XX/XX/XXXX which is untrue and collection agency XXXX XXXX is try to treat this like a new debt not one that is past the time limit ...,Company chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",VA,236XX,,Consent provided,Web,07/24/2015,Closed with explanation,Yes,No,1484781
02/05/2017,Mortgage,"Navy Federal Credit Union ( NFCU ) and my ex-spouse colluded to foreclose on my home by changing the loan solely to his name and refusing to give me any information in order to pay the mortgage and keep it from going into foreclosure when my ex stop paying on the mortgage. My ex-husband and NFCU employees colluded to embezzle the house I was awarded in our divorce. This occurred in XX/XX/2011 thus the criminal statute of limitations of six years applies. When I signed the loan documents NFCU promised to work with me if any problems were to arise. They lied to me, knowing that the purpose and long term goal was to embezzle my real property. This is a long running scam using : marriage, identity theft, kickbacks, and bribery and the tactics are similar to those used in the XXXX XXXX. 
At the time of the loan, I had reconciled with my ex-husband as he promised that his attorney would dismiss the divorce because there was no judgment. He lied knowing that his scheme was to embezzle my assets, me retirement, and illegally use my identity and assets for financial gain.",Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,CA,91359,,Consent provided,Web,02/05/2017,Closed with explanation,Yes,No,2328588
03/05/2018,Debt collection,"on XX/XX/XXXX I ran my first XXXX XXXX inquiry and discovered 3 accounts that were never set up by me. I did not know how to resolve the issue, so I made payments for the first time that next month, from my personal checking account in order to not ruin my credit and called and closed those accounts and reported them. I continued to pay on them while I investigated and tried disputing them. I discovered, through some time and law enforcement investigation that I have been the victim if identity theft. I filed a police report and an investigation was started and sent to the prosecutors office. It is probably international, so they did not pursue. I have a copy of the police report filed on XX/XX/XXXX with XXXX County Sheriffs office. These accounts have been open and paid for for years without my knowledge or consent. No paper bills were ever mailed here until I requested them. No payments were made from my accounts until I discovered the accounts on XX/XX/XXXX ( I believe ) There was a fraudulent XXXX account, linked to XXXX and light coins that was used to pay for these credit cards. that was closed and resolved immediately. I never signed an agreement to open these credit cards. I have spent over a year disputing these 2 Bank of America accounts. At first I was told it was resolved and then they changed their minds. I have spent thousands trying to keep a good credit rating and have spent countless hours on the phone with them disputing and trying to repeal the denial. I have provided Bank of America with the police report and proof that the account used to make payments on the Bank of America credit cards was fraudulent. I provided them with this TWICE, as it was 'lost ' the first time. I have not attached any documentation to this, as I have already provided it to Bank of America twice. They should have it. 
I believe I have fulfilled all of the requirements and I continue to cooperate. However, I was told I could look to you for help resolving this issue. I feel like I have had no choice and I'm losing so much for an account charging things that I have never heard of or seen! 
Thank you in advance for your help, XXXX XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",OH,431XX,,Consent provided,Web,03/05/2018,Closed with explanation,Yes,,2833051
06/24/2018,Debt collection,,Company believes complaint caused principally by actions of third party outside the control or direction of the company,BTH Management,MI,48035,,Consent not provided,Web,06/24/2018,Closed with explanation,Yes,,2944556
05/15/2012,Mortgage,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33186,,,Referral,05/23/2012,Closed without relief,Yes,No,78777
08/17/2017,Debt collection,,Company believes complaint is the result of an isolated error,"Whitewater Recovery Solutions, LLC",AL,35209,,Consent not provided,Web,09/27/2017,Closed with explanation,Yes,,2644728
05/25/2016,Bank account or service,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",MD,20748,,,Referral,06/01/2016,Closed with explanation,Yes,No,1941860
08/12/2015,Mortgage,I had a XXXX loan and it has been passed through hands many times. At this point BSI Financial Services has my paper. There is an agent that has been recently assigned to my case and he sent out an independent contractor to put a padlock on my front door without any due process. I have a tenant in the home and he can not get inside. BSI financial services whom I have been in discussions will not return my calls and I have not been served any documents to substantiate their actions. I was in negotiations with BSI to arrange a cash for keys or a possible restructuring of my loan and they will not return my calls.,Company believes it acted appropriately as authorized by contract or law,"Servis One, Inc.",NV,891XX,,Consent provided,Web,08/12/2015,Closed with explanation,Yes,No,1515081
05/17/2016,Mortgage,"By failing to adhere to both California law and the rules under CFPB, The party ( ies ) complained of in my initial complaint are not compliant with rules regarding dual tracking. The Parties are "" covered '' under both California Homeowner 's Bill of Rights and the CFPB 's strict guidelines. 

I have a valid and complete loan modification package on XXXX XXXX, 2016 that has been acknowledged as received and no notice of deficiency of documentation has been received by me. I just received another Notice of Trustee during the pendency of my application. 

The Parties have also failed to respond to the initial complaint with competent and reliable evidence that supports all facts contained within all recorded title documents that were used against my contract rights. Specifically, the assignment ( s ) of deed of trust to an un-verified entity, Notice of Default, Notice of Trustee Sale. No authenticated evidence has been offered by the offending Parties by any person with personal, first-hand knowledge of those facts. I am not in default to an unknown, un-authenticated party that is currently in my chain of title without competent evidence to support the beneficial interest.",Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",CA,906XX,,Consent provided,Web,05/17/2016,Closed with explanation,Yes,No,1929418
06/09/2016,Debt collection,,,JPMORGAN CHASE & CO.,,,,,Referral,06/13/2016,Closed with explanation,Yes,No,1961721
04/18/2012,Credit card,,,FIRST NATIONAL BANK OF OMAHA,MI,630XX,Older American,,Phone,04/19/2012,Closed without relief,Yes,No,60147
12/06/2016,Student loan,"On XXXX XXXX, XXXX I got a student loan with Navient, which my father cosigned on. I have been making payments on this loan since then, which is 12 years, on time every month. My father passed away on XXXX XXXX, XXXX. So I let them know that he had passed, And they sent me a letter stating - That my cosigned student loan has been referred to XXXX XXXX XXXX to resolve the outstanding balance. They may attempt to contact the executor of the cosigners estate. If I provide a new, credit worthy cosigner for my loan, they can recall the account from XXXX XXXX. The promissory note that I signed provides that the loan may be declared in default and due in full if any borrower or cosigner passes away, however, they wo n't declare the loan in default as long as I continue to make regular monthly payments. 
My concern is that they sent it to a collection agency already, and it will be going on my credit report.",,"Navient Solutions, LLC.",VA,231XX,,Consent provided,Web,12/06/2016,Closed with explanation,Yes,Yes,2238565
